X,Y
475261,105026
471275,104659
467134,104203
467811,100257
464550,97930
463680,101842
460750,104711
461969,100895
458586,98755
455504,101316
451923,103225
449001,105978
445619,108140
443324,111426
439294,112197
441819,109035
444619,106124
447500,103338
446831,99347
442965,98016
440433,101301
442458,97827
438868,95976
435156,94282
432036,91729
427998,91613
423757,92797
419718,92842
416235,90761
412155,91244
408195,90495
404981,88112
401567,90242
397605,90798
394386,88422
398233,89778
399998,86164
404041,86042
405497,82305
403142,78937
399722,76836
396024,75200
392684,77428
389149,79318
385220,80131
380976,80175
376969,80717
373085,81817
369151,81066
367517,77369
369818,74050
369165,70100
367889,73938
365154,76859
362185,79567
359100,82123
355898,84528
352541,86720
349027,88761
345476,90650
341645,91804
337734,92714
333540,91500
329776,90004
325729,89596
321974,87828
317971,87921
313959,87429
310317,85668
308293,82211
304533,80795
300625,79941
299005,83618
297506,87355
297426,83247
297977,79281
296175,75640
293904,72318
289897,72801
293899,72101
292875,68229
294258,64462
290521,63024
289335,59156
292442,56619
292123,52609
288447,50770
287224,54596
283998,57077
287063,54445
288167,50590
285376,47715
283007,44368
282004,40218
279787,36838
275733,36437
274834,40352
273083,36723
269223,37798
267696,41730
267560,45812
263556,45605
262309,49408
258883,47056
255161,45581
254597,49583
250687,48425
249132,52209
251207,55643
247711,53671
244459,56054
244225,60172
246573,63472
242995,65277
243664,61239
242053,57547
238593,55519
242314,57013
242550,52988
244261,49321
240675,51159
237259,53303
233162,53802
229062,54242
225355,52168
221472,50845
217392,50736
213342,50414
212612,54367
211290,50579
208216,53164
204477,51569
203068,47756
201699,43972
200480,40029
196634,41133
193367,38755
189446,37950
187745,34121
185235,31005
186344,34857
183643,37812
179678,38902
182087,35679
182719,31694
179098,29709
176274,26857
172214,25885
176210,26273
180106,25213
181384,21418
178404,18727
174929,16645
172049,13859
168126,13068
165990,16471
165851,20592
164669,24511
160860,26598
156894,27799
153188,29423
149331,31181
146720,28148
146133,24184
142293,23038
138556,21610
135196,23787
136224,27667
135144,31558
137191,35140
141142,36246
144171,38885
147573,41074
151692,40849
154791,38291
157660,41099
161090,43202
164556,45306
167965,47414
169800,50984
173293,52968
175956,56010
176522,60038
179934,62184
183524,63953
184788,67799
184794,71819
185158,75888
189122,76438
192378,74051
196395,73924
192799,75735
193154,79742
196951,81171
200968,81202
203943,83904
204605,87931
207537,90667
210840,92928
212966,96345
215926,99054
219371,101098
219979,105096
220123,109235
219910,113262
220750,117191
221860,121048
222504,125015
225675,127628
229579,126570
232858,124237
236869,123954
239915,126548
242924,129300
247020,129424
248917,132955
252837,133861
248788,133885
244803,133447
244617,137627
241827,140525
245420,142301
245851,146307
249762,147211
253826,148084
257855,147723
261993,148537
265791,149796
270019,149688
274057,149772
278060,150015
282036,149118
286135,148439
290305,149244
294287,148542
297930,146336
301184,143986
305177,143570
309172,143251
313186,144016
317015,145466
321299,146357
325242,145247
328839,147081
326502,143808
329377,146672
329781,150652
329293,154675
329542,158688
330794,162502
332429,166157
336497,166846
338510,170313
341095,173372
343945,176182
348124,177436
351197,180031
353463,183347
354961,187102
354380,191062
351545,188215
347797,186801
344272,184861
340669,183079
336764,182075
332724,182560
329078,180880
325616,178797
322115,176841
319978,173444
315971,175007
311929,176144
311549,180491
314431,183346
312988,187433
310034,195228
304837,201284
300821,207206
301171,214090
306537,212750
311199,211306
316904,212908
321799,213539
326610,217793
328861,221345
326958,227182
327890,232174
325532,236535
323840,241814
324465,246291
326502,250519
327561,257952
330945,262414
334992,263008
331809,265926
334877,270055
330472,271846
324937,275080
320744,279040
317546,282183
318840,286148
324830,289081
330209,289280
334010,294233
327668,294786
323842,297070
326913,300916
328102,305041
330278,309892
334647,313602
332535,318266
328649,319218
324970,321344
319797,322416
314996,321076
313238,325466
307706,328937
307713,333285
311962,338080
317076,338276
322905,339899
324351,343747
323550,347773
324220,351920
329565,357142
333755,360666
339323,364195
336307,369147
333265,371847
327963,373160
326445,376878
325060,380701
322819,384044
320695,387510
323185,390653
326903,392202
330477,394188
332681,390849
333809,386908
335794,383388
337820,379899
341086,377570
345131,378264
349066,379147
346022,381777
342029,382040
338955,384644
335657,386913
333675,390587
332845,394525
331014,398105
329595,401866
327585,405358
327759,409467
329834,412929
331943,416390
334594,419413
336768,422783
337628,426697
333640,427246
330935,430222
330482,434216
330579,438326
331190,442552
331072,446881
334360,444546
336173,440935
335021,444784
335551,448764
339366,450351
343245,451476
342236,455352
340388,458900
341641,463026
345121,465116
347376,468459
346477,472364
344997,476091
346780,479686
348019,483536
345592,480353
342302,478040
339760,474920
336108,473053
334343,476663
333384,480572
331124,477267
329725,473516
327927,469927
325049,467129
321370,468767
318846,471933
320110,475744
321228,479589
321550,483603
318427,481060
315799,478016
312469,480242
310434,483713
308293,487095
307941,491213
308022,495231
305043,497920
303242,501545
300896,504810
298442,507988
296358,511405
293875,514554
296393,517681
297773,521453
298652,525422
298278,529543
300890,532577
302832,536239
305685,539092
307865,542448
307697,546471
309307,550149
310738,553892
313504,556806
317069,554946
319974,557892
320472,561872
324491,561647
328129,559918
331856,561442
332131,565483
334183,569609
335253,573552
339352,572195
343652,576683
345840,580088
350949,583801
355552,587214
358123,591548
360783,594615
363900,599937
366927,603623
370742,607554
375680,605637
378451,610199
382795,614012
388557,618353
386583,621851
383834,628445
382555,632933
379578,636563
385082,639848
387892,644476
391411,649260
395064,655685
399070,655915
399941,651988
402557,648928
405352,646056
408115,643154
409870,639541
413823,638809
414536,634854
418559,635209
421443,632409
423597,628989
424600,625099
425885,621303
426260,617318
426636,613270
424368,609949
425903,606248
428565,603235
427319,599424
428050,595472
430017,591776
431845,588202
428678,585615
431354,582634
432303,578746
434738,575549
436506,571946
436894,567930
439797,565173
441005,561351
441541,557275
441543,553256
443253,549625
444433,545741
445151,541760
447544,538539
450295,535632
451806,531878
453960,528502
457288,526163
461141,525038
464441,522642
468649,522085
472270,520193
476167,519206
479928,517817
483591,516028
486131,512922
489866,511479
493328,509415
496025,506224
497295,502417
500240,499697
502021,495903
503047,492030
505186,488615
506469,484811
510060,483040
513760,481398
513023,477453
516347,475123
520188,473954
523827,472287
521479,469040
518459,466333
516993,462462
517276,458449
518468,454583
519769,450751
521261,446708
523181,443172
525534,439925
527856,436618
530180,433342
532650,430195
535052,426986
537529,423810
539937,420603
541519,416878
541787,412865
540024,416462
536441,418305
532404,418097
528332,416469
524512,417758
521683,420591
518892,423487
516497,426797
512529,428649
508672,427383
504889,426060
500461,425592
496484,424612
492996,426582
488932,426287
486162,423361
490063,424670
493797,423197
497435,421200
500839,423343
504835,423555
508698,424693
512751,425500
515142,422221
517427,418936
520542,416387
523516,413681
526637,411166
530324,409597
532877,406514
535326,403336
538886,401399
542952,399881
544613,396220
547255,393209
548519,389413
550516,385920
552188,382262
554153,378768
555648,374981
556675,370809
557399,366873
557238,362724
556705,358531
553355,356196
550770,353115
547719,350515
544705,347857
542491,344513
540465,341021
538397,337591
541755,335246
545291,333310
548001,330361
550494,327222
554609,327444
558225,325705
561209,328402
564542,330648
565043,334624
566523,338355
567585,342227
570472,345112
574504,345164
578633,345593
582633,346486
586796,345996
590837,345814
594881,345574
598842,344652
602859,345099
606909,344775
610838,343801
614884,343608
618868,343168
622769,342108
626196,340009
629733,338040
632816,335463
635972,332985
639095,330475
642292,328065
645282,325335
648060,322442
650265,319025
651667,315196
652997,311332
653395,307297
653069,302666
653990,298750
655360,294920
654316,290995
653667,286719
653155,282699
651568,278902
650595,274920
648293,271645
647858,267444
647685,263318
647316,259275
646454,255176
645854,251122
643497,247879
639927,245972
637246,242965
635430,239382
631373,239532
629936,243365
627907,246831
629751,243233
630922,239387
631983,235444
629091,232649
625776,234912
623411,238210
619709,239871
616619,242428
618903,239093
622709,237683
625219,234546
621417,233201
617498,234514
613779,232992
617816,232485
621967,232018
625909,232814
624283,228996
622215,225562
626154,224841
625063,220985
622586,217842
619282,215562
615850,213247
611932,212431
608978,215153
606064,217910
602030,216200
599708,212859
597853,209290
593974,208304
590003,207689
586085,206645
589837,204960
593797,205915
597818,206257
600736,209218
603873,206684
603921,202633
603312,198649
604812,194874
602398,191683
599420,188997
596239,186523
593136,183929
589242,184865
585284,185492
581338,184731
578412,181937
574923,183949
571809,181369
569486,178106
573460,179353
577478,179276
581474,178767
585500,178510
589119,176757
586407,173781
582265,173940
579105,171447
581615,168288
585675,168404
587667,172126
590889,169741
592955,166262
596935,165485
600933,165270
604936,164965
608955,165221
612469,167377
616381,168283
620471,168644
624617,169475
628638,169622
632590,170451
636686,171475
640188,169473
639250,165529
635354,164265
635505,160125
636885,156320
637915,151695
638083,147216
636541,143524
633176,141328
629766,139194
625873,138249
622791,135639
618734,134785
614927,133542
611836,130970
609350,127807
608458,123811
608853,119806
606360,116644
602384,117322
598444,118098
594394,117697
591118,115380
588490,112346
585094,110214
581210,109056
577285,108241
573416,106843
569492,105910
565950,104002
563743,100656
560971,97756
557834,95157
554103,96621
550158,97403
546803,99595
542788,100194
538992,101483
535197,102774
531297,103694
527325,104399
523283,104796
519351,103870
515583,102518
511410,101747
507305,101383
503274,101240
499340,100113
495319,99420
491422,98238
488130,95957
486071,92493
482702,94663
479298,96835
478260,100712
482441,101240
480314,104636
477977,101326
474541,103376
