node,X,Y,Survey
0,165144,23068,1
1,175144,23068,0
2,145144,33068,1
3,155144,33068,1
4,165144,33068,0
5,175144,33068,0
6,165144,43068,0
7,175144,43068,0
8,185144,43068,0
9,195144,43068,1
10,275144,43068,0
11,175144,53068,0
12,185144,53068,0
13,195144,53068,0
14,205144,53068,0
15,215144,53068,0
16,225144,53068,0
17,255144,53068,0
18,265144,53068,0
19,275144,53068,0
20,285144,53068,1
21,185144,63068,0
22,195144,63068,0
23,205144,63068,0
24,215144,63068,0
25,225144,63068,0
26,235144,63068,0
27,255144,63068,0
28,265144,63068,1
29,275144,63068,0
30,285144,63068,0
31,185144,73068,0
32,195144,73068,0
33,205144,73068,1
34,215144,73068,0
35,225144,73068,0
36,235144,73068,0
37,245144,73068,0
38,255144,73068,1
39,265144,73068,0
40,275144,73068,1
41,285144,73068,0
42,205144,83068,0
43,215144,83068,0
44,225144,83068,1
45,235144,83068,0
46,245144,83068,0
47,255144,83068,0
48,265144,83068,0
49,275144,83068,0
50,285144,83068,0
51,295144,83068,1
52,305144,83068,0
53,365144,83068,1
54,375144,83068,0
55,385144,83068,0
56,395144,83068,1
57,405144,83068,0
58,215144,93068,0
59,225144,93068,0
60,235144,93068,0
61,245144,93068,0
62,255144,93068,0
63,265144,93068,1
64,275144,93068,0
65,285144,93068,0
66,295144,93068,0
67,305144,93068,0
68,315144,93068,0
69,325144,93068,0
70,335144,93068,1
71,345144,93068,0
72,355144,93068,0
73,365144,93068,0
74,375144,93068,0
75,385144,93068,0
76,395144,93068,0
77,405144,93068,0
78,415144,93068,0
79,425144,93068,0
80,225144,103068,0
81,235144,103068,0
82,245144,103068,0
83,255144,103068,0
84,265144,103068,0
85,275144,103068,0
86,285144,103068,0
87,295144,103068,0
88,305144,103068,0
89,315144,103068,1
90,325144,103068,0
91,335144,103068,0
92,345144,103068,0
93,355144,103068,0
94,365144,103068,0
95,375144,103068,1
96,385144,103068,0
97,395144,103068,0
98,405144,103068,0
99,415144,103068,0
100,425144,103068,1
101,435144,103068,0
102,445144,103068,0
103,455144,103068,0
104,465144,103068,0
105,475144,103068,0
106,485144,103068,0
107,495144,103068,0
108,505144,103068,0
109,515144,103068,0
110,535144,103068,0
111,545144,103068,1
112,555144,103068,0
113,565144,103068,0
114,225144,113068,1
115,235144,113068,0
116,245144,113068,0
117,255144,113068,0
118,265144,113068,0
119,275144,113068,1
120,285144,113068,0
121,295144,113068,0
122,305144,113068,0
123,315144,113068,0
124,325144,113068,0
125,335144,113068,0
126,345144,113068,1
127,355144,113068,0
128,365144,113068,0
129,375144,113068,0
130,385144,113068,0
131,395144,113068,1
132,405144,113068,0
133,415144,113068,0
134,425144,113068,0
135,435144,113068,0
136,445144,113068,0
137,455144,113068,0
138,465144,113068,1
139,475144,113068,0
140,485144,113068,0
141,495144,113068,1
142,505144,113068,0
143,515144,113068,0
144,525144,113068,0
145,535144,113068,0
146,545144,113068,0
147,555144,113068,1
148,565144,113068,0
149,575144,113068,0
150,585144,113068,0
151,225144,123068,0
152,235144,123068,0
153,245144,123068,1
154,255144,123068,0
155,265144,123068,0
156,275144,123068,0
157,285144,123068,0
158,295144,123068,0
159,305144,123068,0
160,315144,123068,0
161,325144,123068,1
162,335144,123068,1
163,345144,123068,0
164,355144,123068,0
165,365144,123068,1
166,375144,123068,0
167,385144,123068,0
168,395144,123068,0
169,405144,123068,0
170,415144,123068,0
171,425144,123068,1
172,435144,123068,0
173,445144,123068,0
174,455144,123068,0
175,465144,123068,0
176,475144,123068,1
177,485144,123068,0
178,495144,123068,0
179,505144,123068,0
180,515144,123068,0
181,525144,123068,0
182,535144,123068,0
183,545144,123068,1
184,555144,123068,0
185,565144,123068,0
186,575144,123068,0
187,585144,123068,0
188,595144,123068,0
189,605144,123068,0
190,255144,133068,0
191,265144,133068,1
192,275144,133068,0
193,285144,133068,1
194,295144,133068,1
195,305144,133068,1
196,315144,133068,0
197,325144,133068,0
198,335144,133068,0
199,345144,133068,0
200,355144,133068,0
201,365144,133068,0
202,375144,133068,0
203,385144,133068,0
204,395144,133068,0
205,405144,133068,1
206,415144,133068,0
207,425144,133068,0
208,435144,133068,1
209,445144,133068,0
210,455144,133068,1
211,465144,133068,0
212,475144,133068,0
213,485144,133068,0
214,495144,133068,0
215,505144,133068,0
216,515144,133068,1
217,525144,133068,0
218,535144,133068,0
219,545144,133068,0
220,555144,133068,0
221,565144,133068,0
222,575144,133068,1
223,585144,133068,0
224,595144,133068,1
225,605144,133068,0
226,255144,143068,0
227,265144,143068,1
228,275144,143068,0
229,285144,143068,0
230,295144,143068,1
231,305144,143068,0
232,315144,143068,0
233,325144,143068,1
234,335144,143068,0
235,345144,143068,0
236,355144,143068,0
237,365144,143068,0
238,375144,143068,0
239,385144,143068,1
240,395144,143068,0
241,405144,143068,0
242,415144,143068,0
243,425144,143068,0
244,435144,143068,0
245,445144,143068,0
246,455144,143068,0
247,465144,143068,0
248,475144,143068,0
249,485144,143068,1
250,495144,143068,0
251,505144,143068,0
252,515144,143068,1
253,525144,143068,0
254,535144,143068,1
255,545144,143068,0
256,555144,143068,0
257,565144,143068,0
258,575144,143068,0
259,585144,143068,0
260,595144,143068,0
261,605144,143068,0
262,615144,143068,0
263,625144,143068,1
264,635144,143068,0
265,335144,153068,0
266,345144,153068,1
267,355144,153068,0
268,365144,153068,1
269,375144,153068,0
270,385144,153068,0
271,395144,153068,1
272,405144,153068,0
273,415144,153068,1
274,425144,153068,0
275,435144,153068,1
276,445144,153068,0
277,455144,153068,1
278,465144,153068,0
279,475144,153068,0
280,485144,153068,0
281,495144,153068,0
282,505144,153068,1
283,515144,153068,0
284,525144,153068,1
285,535144,153068,0
286,545144,153068,0
287,555144,153068,0
288,565144,153068,0
289,575144,153068,0
290,585144,153068,0
291,595144,153068,1
292,605144,153068,0
293,615144,153068,0
294,625144,153068,1
295,635144,153068,0
296,335144,163068,0
297,345144,163068,1
298,355144,163068,0
299,365144,163068,0
300,375144,163068,1
301,385144,163068,0
302,395144,163068,0
303,405144,163068,0
304,415144,163068,0
305,425144,163068,1
306,435144,163068,1
307,445144,163068,0
308,455144,163068,0
309,465144,163068,0
310,475144,163068,1
311,485144,163068,0
312,495144,163068,0
313,505144,163068,0
314,515144,163068,0
315,525144,163068,0
316,535144,163068,0
317,545144,163068,0
318,555144,163068,1
319,565144,163068,0
320,575144,163068,0
321,585144,163068,0
322,595144,163068,0
323,605144,163068,0
324,615144,163068,0
325,625144,163068,0
326,635144,163068,0
327,345144,173068,0
328,355144,173068,0
329,365144,173068,0
330,375144,173068,0
331,385144,173068,0
332,395144,173068,0
333,405144,173068,1
334,415144,173068,0
335,425144,173068,0
336,435144,173068,0
337,445144,173068,0
338,455144,173068,0
339,465144,173068,0
340,475144,173068,0
341,485144,173068,0
342,495144,173068,0
343,505144,173068,1
344,515144,173068,0
345,525144,173068,0
346,535144,173068,0
347,545144,173068,0
348,555144,173068,0
349,565144,173068,0
350,575144,173068,1
351,315144,183068,0
352,325144,183068,0
353,335144,183068,1
354,355144,183068,0
355,365144,183068,1
356,375144,183068,0
357,385144,183068,0
358,395144,183068,1
359,405144,183068,0
360,415144,183068,0
361,425144,183068,0
362,435144,183068,0
363,445144,183068,1
364,455144,183068,0
365,465144,183068,0
366,475144,183068,1
367,485144,183068,0
368,495144,183068,0
369,505144,183068,0
370,515144,183068,0
371,525144,183068,0
372,535144,183068,1
373,545144,183068,0
374,555144,183068,0
375,565144,183068,0
376,315144,193068,0
377,325144,193068,1
378,335144,193068,1
379,345144,193068,1
380,355144,193068,0
381,365144,193068,0
382,375144,193068,0
383,385144,193068,0
384,395144,193068,0
385,405144,193068,1
386,415144,193068,0
387,425144,193068,0
388,435144,193068,1
389,445144,193068,0
390,455144,193068,0
391,465144,193068,1
392,475144,193068,0
393,485144,193068,0
394,495144,193068,1
