name,latitude,longitude,Region.num,dep,x,y
Mullion,50.027991,-5.240468,Co 7,no hyperrhoticity,167.943733069843,19.3087770040063
St Buryan,50.076007,-5.626154,Co 6,no hyperrhoticity,140.589359507805,25.9147380732226
Gwinear,50.187582,-5.370383,Co 5,no hyperrhoticity,159.443574230953,37.4579041630802
St Ewe,50.282002,-4.840752,Co 4,no hyperrhoticity,197.639475907542,46.3779512355886
Blackawton,50.346039,-3.682552,D 11,no hyperrhoticity,280.29877609666,50.9908318960522
Cornwood,50.421219,-3.96414,D 10,no hyperrhoticity,260.48799755494,59.8395760697026
Egloshayle,50.508415,-4.790314,Co 3,no hyperrhoticity,202.176970952009,71.4096682695489
Widecombe-in-the-Moor,50.574983,-3.81225,D 9,no hyperrhoticity,271.693318044532,76.660022246683
Peter Tavy,50.577706,-4.097848,D 8,no hyperrhoticity,251.483265286542,77.4958694191852
Whitwell,50.596439,-1.26302,Ha 7,no hyperrhoticity,452.155622530431,77.7371582519854
Altarnun,50.606127,-4.512319,Co 2,hyperrhoticity,222.251308989395,81.5676106265658
Kingston,50.616444,-2.06195,Do 5,no hyperrhoticity,395.617671901426,79.7040858944823
Kennford,50.667967,-3.535299,D 7,no hyperrhoticity,291.514544669773,86.5553357202129
Portesham,50.671133,-2.563294,Do 4,no hyperrhoticity,360.199066120934,85.9343211954479
South Zeal,50.725834,-3.910826,D 6,no hyperrhoticity,265.147329972885,93.6061533234335
Whitchurch Canonicorum,50.754717,-2.857273,Do 3,no hyperrhoticity,339.535132731962,95.4269048223966
Gittisham,50.779847,-3.222883,D 5,no hyperrhoticity,313.794921707535,98.583530966696
Burley,50.82642,-1.701727,Ha 6,no hyperrhoticity,421.005660080149,103.091633381238
Ansty,50.8317,-2.329,Do 2,no hyperrhoticity,376.833031291119,103.68790244381
Firle,50.847426,0.097874,Sx 6,no hyperrhoticity,547.668423037376,107.481766896555
Kilkhampton,50.877069,-4.482512,Co 1,no hyperrhoticity,225.371055274142,111.616759524873
Chawleigh,50.897815,-3.833946,D 4,no hyperrhoticity,271.047131942716,112.589558271913
Merriott,50.912859,-2.795911,So 13,no hyperrhoticity,344.052427813628,112.962173333076
Sutton,50.927046,-0.609178,Sx 3,no hyperrhoticity,497.735053165217,115.159039646248
Hambledon,50.931636,-1.086495,Ha 5,no hyperrhoticity,464.187719372521,115.145701372492
Horam,50.93361,0.243262,Sx 5,no hyperrhoticity,557.609963493227,117.364008352452
Sixpenny Handley,50.9516,-2.000834,Do 1,no hyperrhoticity,399.941423307556,116.968268485378
Pitminster,50.966687,-3.113596,So 12,no hyperrhoticity,321.811984353879,119.236095430684
(East) Harting,50.970644,-0.86665,Sx 2,no hyperrhoticity,479.568188965555,119.697198281634
Weare Giffard,50.976335,-4.171064,D 3,no hyperrhoticity,247.601965584939,121.962263718326
Fletching,50.992464,0.033713,Sx 4,no hyperrhoticity,542.708057498425,123.480533085466
Whiteparish,51.013156,-1.647986,W 9,no hyperrhoticity,424.691295041532,123.871873357405
Horsington,51.013355,-2.42717,So 11,no hyperrhoticity,370.037189255659,123.921863644254
Appledore,51.033234,0.816376,K 7,no hyperrhoticity,597.447252029997,129.819924453958
Stoke St. Gregory,51.043532,-2.929939,So 10,no hyperrhoticity,334.814481658332,127.601943537412
Swimbridge,51.052032,-3.97222,D 2,no hyperrhoticity,261.783912279841,129.986101524166
Fovant,51.059856,-1.993764,W 8,no hyperrhoticity,400.436972459373,129.005735149352
Brompton Regis,51.075116,-3.500705,So 9,no hyperrhoticity,294.878855849906,131.773685107047
King's Somborne,51.078178,-1.486981,Ha 3,no hyperrhoticity,435.934261556277,131.168203617316
New Alresford,51.090632,-1.161219,Ha 4,no hyperrhoticity,458.736112757045,132.762432041185
Warnham,51.090843,-0.34712,Sx 1,no hyperrhoticity,515.740823075864,133.750572927533
Withypool,51.108187,-3.649063,So 8,no hyperrhoticity,284.569648372005,135.67299517284
Goudhurst,51.11306,0.457947,K 6,no hyperrhoticity,572.026017455656,137.794734052036
Stogumber,51.127849,-3.291264,So 7,no hyperrhoticity,309.652040984166,137.358946464
Thursley,51.150417,-0.712899,Sr 5,no hyperrhoticity,490.012788460881,139.863199162146
Sutton Veny,51.179217,-2.151269,W 7,no hyperrhoticity,389.42747531279,142.289110286837
Stogursey,51.17958,-3.138084,So 6,no hyperrhoticity,320.458513730447,142.934121598207
Wootton Courtenay,51.1797,-3.521062,So 5,no hyperrhoticity,293.693361395784,143.431463435793
Coldharbour,51.181289,-0.357745,Sr 3,no hyperrhoticity,514.772363705894,143.790349852085
Denton,51.18264,1.16917,K 5,no hyperrhoticity,621.459823280614,147.433130221267
Parracombe,51.188321,-3.909505,D 1,no hyperrhoticity,266.572003639528,145.023354018572
Outwood,51.191485,-0.113074,Sr 4,no hyperrhoticity,531.841364542989,145.334401854693
Wedmore,51.228772,-2.81108,So 3,no hyperrhoticity,343.373014649738,148.101155618498
Coleford,51.236308,-2.448202,So 4,no hyperrhoticity,368.712939604845,148.722068786737
Netheravon,51.240295,-1.785885,W 6,no hyperrhoticity,414.945183725492,149.091774117045
Warren Street,51.244295,0.759441,K 4,no hyperrhoticity,592.575764828057,153.132356383634
Hatherden,51.249651,-1.507402,Ha 1,no hyperrhoticity,434.376191573142,150.225622300051
Oakley,51.250869,-1.188708,Ha 2,no hyperrhoticity,456.61465466503,150.558424691197
East Clandon,51.252926,-0.483648,Sr 2,no hyperrhoticity,505.809464301962,151.566659112525
Staple,51.264036,1.256024,K 3,no hyperrhoticity,627.126466742479,156.746459819591
Walton-on-the-Hill,51.282598,-0.247666,Sr 1,no hyperrhoticity,522.196273430259,155.23223705422
Steeple Ashton,51.309006,-2.137016,W 5,no hyperrhoticity,390.450562765858,156.719533385485
Blagdon,51.327415,-2.719179,So 2,no hyperrhoticity,349.896592239744,159.003212507007
Burbage,51.348757,-1.671462,W 4,no hyperrhoticity,422.877900920927,161.182174788601
Inkpen,51.374941,-1.464228,Brk 4,no hyperrhoticity,437.287397809096,164.178840706546
Swallowfield,51.379406,-0.96065,Brk 5,no hyperrhoticity,472.326556053762,165.05171178701
Farningham,51.380963,0.218655,K 2,no hyperrhoticity,554.380467420291,167.04817888969
Weston,51.397,-2.393,So 1,no hyperrhoticity,372.662018133128,166.568903994844
Avebury,51.428867,-1.85494,W 3,no hyperrhoticity,410.083708644445,170.049288451829
Stoke,51.446101,0.62131,K 1,no hyperrhoticity,582.135234344471,175.214994597835
Harmondsworth,51.487453,-0.475554,MxL 1,no hyperrhoticity,505.832075281421,177.656011867702
Binfield Heath,51.498447,-0.928179,O 6,no hyperrhoticity,474.392447958349,178.321386338324
Sutton Benger,51.505328,-2.083788,W 2,no hyperrhoticity,394.185282162396,178.545333881091
West Ilsley,51.540371,-1.324842,Brk 3,no hyperrhoticity,446.818411053608,182.654938599582
Hackney,51.551795,-0.064644,MxL 2,no hyperrhoticity,534.167388171379,185.484279270296
Latteridge,51.55967,-2.485006,Gl 7,no hyperrhoticity,366.381703783582,184.69652053163
Uffington,51.601076,-1.56018,Brk 2,no hyperrhoticity,430.458540131479,189.281253766018
Canewdon,51.615886,0.738725,Ess 15,no hyperrhoticity,589.585205614458,194.389540102569
Mon 4,51.620585,-3.126099,Mon 4,no hyperrhoticity,322.049463030505,191.959682405773
Mon 5,51.637428,-2.987901,Mon 5,no hyperrhoticity,331.640859621474,193.694305470642
Mon 6,51.639126,-2.754597,Mon 6,no hyperrhoticity,347.786347763495,193.690633328436
Ashton Keynes,51.641845,-1.930725,W 1,no hyperrhoticity,404.793165295777,193.725663876143
Cuxham,51.652529,-1.037174,O 5,no hyperrhoticity,466.601948667618,195.350417973651
Coleshill,51.65307,-0.627904,Bk 5,no hyperrhoticity,494.910360501662,195.863032225307
Doddinghurst,51.663696,0.302137,Ess 14,no hyperrhoticity,559.199384032371,198.662664619603
Buckland,51.678969,-1.507944,Brk 1,no hyperrhoticity,434.017650475001,197.966432349204
Tillingham,51.695127,0.879492,Ess 13,no hyperrhoticity,598.980283703529,203.573832005131
Slimbridge,51.728226,-2.377663,Gl 6,no hyperrhoticity,373.919067316135,203.397064116929
Little Baddow,51.745216,0.574241,Ess 12,no hyperrhoticity,577.693589362209,208.354562594015
Bream,51.753067,-2.575322,Gl 3,no hyperrhoticity,360.290854723673,206.248679471061
Whiteshill,51.76258,-2.233281,Gl 4,no hyperrhoticity,383.902105185559,207.175773622059
Mon 3,51.764794,-2.852012,Mon 3,no hyperrhoticity,341.209015181435,207.739610480091
Netteswell,51.767372,0.104023,Ess 11,no hyperrhoticity,545.168279124007,209.777081155985
Long Crendon,51.773991,-1.001586,Bk 3,hyperrhoticity,468.878871480444,208.890504109842
Eynsham,51.781605,-1.376999,O 4,no hyperrhoticity,442.972848288754,209.44933889185
Mon 2,51.792691,-3.01015,Mon 2,no hyperrhoticity,330.34030980479,210.98118759816
East Mersea,51.79769,0.984602,Ess 10,no hyperrhoticity,605.775316013174,215.267963041115
Buckland,51.805422,-0.723713,Bk 4,no hyperrhoticity,487.987008036838,212.684685259102
High Easter,51.80716,0.348399,Ess 8,no hyperrhoticity,561.884501468493,214.715799835326
Wheathampstead,51.81125,-0.292506,Hrt 3,no hyperrhoticity,517.697357778546,213.941189816012
Tiptree,51.812119,0.74656,Ess 9,no hyperrhoticity,589.305954153627,216.226721605539
Islip,51.823063,-1.232683,O 3,no hyperrhoticity,452.878705955517,214.154654958127
Sherborne,51.830096,-1.752249,Gl 5,no hyperrhoticity,417.070903663705,214.687457780927
Codicote,51.849869,-0.235508,Hrt 2,no hyperrhoticity,521.521930558858,218.329112629172
Whitchurch,51.856956,-2.658584,He 6,no hyperrhoticity,354.648478131124,217.850541946917
Horton,51.864256,-0.660048,Bk 6,no hyperrhoticity,492.255558039376,219.305960061906
Mon 1,51.876776,-2.79461,Mon 1,hyperrhoticity,345.305608498865,220.148114305757
Little Bentley,51.889753,1.075092,Ess 7,no hyperrhoticity,611.580466204392,225.762267862661
Stisted,51.891879,0.618749,Ess 5,no hyperrhoticity,580.179120852299,224.770295226203
West Bergholt,51.907508,0.856427,Ess 6,no hyperrhoticity,596.460884616889,227.123058279106
Kingham,51.914357,-1.627725,O 1,no hyperrhoticity,425.603120515612,224.094639142301
Stewkley,51.92678,-0.761755,Bk 2,no hyperrhoticity,485.135050670138,226.135006247693
Steeple Aston,51.929674,-1.3108,O 2,no hyperrhoticity,447.383235976195,225.956958533069
Henham,51.933227,0.251434,Ess 4,no hyperrhoticity,554.767641361626,228.522274345353
Longtown,51.955499,-2.989908,He 5,no hyperrhoticity,331.982257908538,229.067408427848
Harlington,51.962855,-0.492528,Bd 3,no hyperrhoticity,503.561590010461,230.495859227793
Deerhurst,51.964039,-2.190959,Gl 1,no hyperrhoticity,386.881325168279,229.571625184969
Gretton,51.972603,-1.989003,Gl 2,no hyperrhoticity,400.755338240773,230.506888201327
Tingewick,51.989984,-1.046743,Bk 1,no hyperrhoticity,465.449200244046,232.868816126626
Cornish Hall End,52.002133,0.450702,Ess 3,no hyperrhoticity,568.205487197966,236.626514522323
Therfield,52.017597,-0.054681,Hrt 1,no hyperrhoticity,533.475811131245,237.297037288936
Belchamp Walter,52.033474,0.650527,Ess 2,no hyperrhoticity,581.791177728794,240.5925280954
Kersey,52.058535,0.916917,Sf 5,no hyperrhoticity,599.946413461186,244.079027415957
Shipston-on-Stour,52.060655,-1.622814,Wa 7,no hyperrhoticity,425.856482612244,240.366523437359
Great Chesterford,52.062757,0.19682,Ess 1,no hyperrhoticity,550.578455381224,242.810377325941
